ILL,sample,umi_underspike,umi_overspike,umi_over_pctg,total_reads,sample_type,cut,check1_total_reads,check2_umi_overspike,check3_pct_overspike,checks_passed,is_empty
135,s95-A7,43101,4522,0.09495411880813892,10695363,sample,True,True,True,True,3,False
135,s97-B7,24979,1911,0.07106731126812942,862817,sample,False,False,True,True,2,False
135,s99-C7,25480,16,0.0006275494195167869,1302080,sample,False,False,False,False,0,True
138,NTC-H3,41005,39,0.0009501997855959458,687536,NTC,False,False,False,False,0,True
138,WATER-B3,107292,0,0.0,1417130,WATER,False,False,False,False,0,True
138,WATER-C6,57570,177,0.0030650942906124993,1403910,WATER,False,False,False,False,0,True
138,WATER-D2,82018,192,0.0023354823014231844,1239860,WATER,False,False,False,False,0,True
138,WATER-F9,74872,1,1.3355949407663643e-05,1546564,WATER,True,False,False,False,0,True
138,s1-A1,64304,47,0.0007303693804292086,1046441,sample,False,False,False,False,0,True
138,s1-A12,509511,17878,0.033899076393326365,11251202,sample,True,True,True,True,3,False
138,s100-E2,110199,2427,0.02154919823131426,6844743,sample,True,True,True,True,3,False
138,s101-E3,42920,249,0.005768027983043387,1113915,sample,False,False,True,True,2,False
138,s102-E4,47660,37,0.0007757301297775541,1716216,sample,True,True,False,False,1,True
138,s103-E5,29727,427,0.014160642037540624,1114541,sample,False,False,True,True,2,False
138,s104-E6,59263,179,0.0030113387840247636,9587352,sample,True,True,False,False,1,True
138,s105-E7,33363,768,0.022501538191087283,6243348,sample,True,True,True,True,3,False
138,s106-E8,30599,211,0.006848425835767608,1561606,sample,True,False,False,True,1,True
138,s107-E9,175955,13115,0.06936584333844607,16350214,sample,True,True,True,True,3,False
138,s108-E10,192629,6299,0.03166472291482345,15564083,sample,True,True,True,True,3,False
138,s109-F1,480314,96400,0.1671539099102848,18281008,sample,True,True,True,True,3,False
138,s11-F1,404995,658,0.0016220760107776844,31245903,sample,True,True,True,False,2,False
138,s110-F2,295052,76830,0.20659779177265908,16252868,sample,True,True,True,True,3,False
138,s111-F3,315295,34112,0.09762826732149041,14577411,sample,True,True,True,True,3,False
138,s112-F4,223606,1420,0.006310381911423569,14362711,sample,True,True,True,True,3,False
138,s113-F5,156776,1977,0.012453307968983264,14111918,sample,True,True,True,True,3,False
138,s114-F6,99332,1282,0.012741765559464886,19215217,sample,True,True,True,True,3,False
138,s115-F7,59499,332,0.005548962912202704,13163027,sample,True,True,True,True,3,False
138,s116-F8,101109,815,0.007996153997095875,16542550,sample,True,True,True,True,3,False
138,s117-F10,254958,15106,0.05593488950767225,17956488,sample,True,True,True,True,3,False
138,s118-F11,228017,14111,0.0582790920504857,14528380,sample,True,True,True,True,3,False
138,s119-G1,159350,1111,0.006923800798948031,4899420,sample,True,True,True,True,3,False
138,s120-G2,290205,14673,0.04812744770039163,14577101,sample,True,True,True,True,3,False
138,s121-G3,307585,7423,0.02356448090207233,13761595,sample,True,True,True,True,3,False
138,s122-G4,216991,11394,0.04988944107537711,15988383,sample,True,True,True,True,3,False
138,s123-G5,138749,1051,0.007517882689556509,13522663,sample,True,True,True,True,3,False
138,s124-G6,72734,2376,0.03163360404739715,15462865,sample,True,True,True,True,3,False
138,s125-G7,49986,115,0.0022953633660006785,9498495,sample,True,True,False,False,1,True
138,s126-G8,90096,1848,0.020099190811798485,17709141,sample,True,True,True,True,3,False
138,s127-G9,242971,15569,0.06021892163688404,18400637,sample,True,True,True,True,3,False
138,s128-G10,229802,16899,0.06849992501043774,16145631,sample,True,True,True,True,3,False
138,s13-G1,269514,10321,0.03688244858577376,39917812,sample,True,True,True,True,3,False
138,s15-H1,203853,698,0.0034123519317920716,29837285,sample,True,True,True,True,3,False
138,s17-A2,520522,9584,0.018079402987327062,39408319,sample,True,True,True,True,3,False
138,s19-A1,268131,41828,0.13494688007123523,10107707,sample,True,True,True,True,3,False
138,s19-B2,266731,7191,0.02625199874416805,26873282,sample,True,True,True,True,3,False
138,s2-B12,545079,3344,0.006097483147132779,18137736,sample,True,True,True,True,3,False
138,s20-A2,159423,9810,0.0579674177022212,9136493,sample,True,True,True,True,3,False
138,s21-A3,112343,1474,0.012950613704455398,5240627,sample,True,True,True,True,3,False
138,s21-C2,517597,11070,0.02093945716301566,38511864,sample,True,True,True,True,3,False
138,s22-A4,74311,547,0.00730716823853162,1914817,sample,True,True,True,True,3,False
138,s23-A5,46761,24,0.0005129849310676499,995903,sample,False,False,False,False,0,True
138,s23-D2,451237,3780,0.008307381921994123,35752228,sample,True,True,True,True,3,False
138,s24-A6,43640,7,0.00016037757463284992,1133531,sample,False,False,False,False,0,True
138,s25-A7,36903,455,0.012179452861502222,1958626,sample,True,True,True,True,3,False
138,s25-E2,136305,2666,0.019183858502853115,11117375,sample,True,True,True,True,3,False
138,s26-A8,65018,4,6.151764018332257e-05,1295051,sample,False,False,False,False,0,True
138,s27-A9,189045,4299,0.022234980139026812,9730842,sample,True,True,True,True,3,False
138,s27-F2,267938,12928,0.04602906724203001,36593045,sample,True,True,True,True,3,False
138,s28-A10,179596,26985,0.13062672753060542,9106302,sample,True,True,True,True,3,False
138,s29-B1,455018,69631,0.13271920846127602,15121109,sample,True,True,True,True,3,False
138,s29-G2,359597,27074,0.07001818083073207,33826940,sample,True,True,True,True,3,False
138,s3-B1,36255,97,0.0026683538732394365,1032140,sample,False,False,False,False,0,True
138,s3-C12,92350,0,0.0,2325496,sample,True,True,False,False,1,True
138,s30-B2,282770,31236,0.09947580619478609,14061555,sample,True,True,True,True,3,False
138,s31-B4,333776,23970,0.06700284559436025,15200949,sample,True,True,True,True,3,False
138,s31-H2,146634,1673,0.011280654318407088,13726253,sample,True,True,True,True,3,False
138,s32-B5,217217,18093,0.07689005992095534,15951796,sample,True,True,True,True,3,False
138,s33-A3,410550,7051,0.016884538111738238,33820234,sample,True,True,True,True,3,False
138,s33-B6,172647,1912,0.0109533166436563,15437351,sample,True,True,True,True,3,False
138,s34-B7,83094,546,0.006527977044476327,9493221,sample,True,True,True,True,3,False
