project	sample_id	sample_type	date_collected	time_point_h	cage_id	mouse_type	pretreatment	mouse_id	gender	gavage_dose_200ul	strain_bcs	strains	tube_type	tube_weight_empty	tube_weight_full	stool_weight_mg	cfu_g_stool	cfu_incubation_time	dna_conc_ng_ul	dna_conc_ng_ul
P4C2T5	s1	stool DNA		5 h	cage1	germ_free	None	mA	female	10^6	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1655.65	#N/A	#N/A			5.02509038	0.33456255
P4C2T5	s2	stool CFU		5 h	cage1	germ_free	None	mA	female	10^6	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1806.8	#N/A	#N/A			#N/A	#N/A
P4C2T5	s3	stool DNA		5 h	cage2	germ_free	None	mA	female	10^6	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1646.5	#N/A	#N/A			5.49942155	0.22537961
P4C2T5	s4	stool CFU		5 h	cage2	germ_free	None	mA	female	10^6	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1793.6	#N/A	#N/A			#N/A	#N/A
P4C2T5	s5	stool DNA		5 h	cage3	germ_free	None	mA	female	10^6	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1663.8	#N/A	#N/A			7.45314534	0.18344179
P4C2T5	s6	stool CFU		5 h	cage3	germ_free	None	mA	female	10^6	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1758.4	#N/A	#N/A			#N/A	#N/A
P4C2T5	s7	stool DNA		5 h	cage4	germ_free	donor_BSD2780	mA	female	10^6	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1659.1	#N/A	#N/A			-0.0573391	0.08655098
P4C2T5	s8	stool CFU		5 h	cage4	germ_free	donor_BSD2780	mA	female	10^6	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1887	#N/A	#N/A			#N/A	#N/A
P4C2T5	s9	stool DNA		5 h	cage5	germ_free	donor_BSD2780	mA	female	10^6	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1694.4	#N/A	#N/A			-0.0428778	0.07859725
P4C2T5	s10	stool CFU		5 h	cage5	germ_free	donor_BSD2780	mA	female	10^6	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1779.3	#N/A	#N/A			#N/A	#N/A
P4C2T5	s11	stool DNA		5 h	cage6	germ_free	donor_BSD2780	mA	female	10^6	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1639	#N/A	#N/A			-0.0869848	0.10896602
P4C2T5	s12	stool CFU		5 h	cage6	germ_free	donor_BSD2780	mA	female	10^6	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1803	#N/A	#N/A			#N/A	#N/A
P4C2T5	s13	stool DNA		5 h	cage7	SPF	antibiotic_vancomycin	mA	female	10^6	ST1a|ST2d|ST4a|ST5a|ST6a	E. coli|E.coli|B.uniformis|B.longum|P.distasonis	2ml_screwcap	1663	#N/A	#N/A			3.14222704	0.11691974
