project	sample_id	sample_type	date_collected	time_point_h	cage_id	mouse_type	pretreatment	mouse_id	gender	gavage_dose_200ul	strain_bcs	strains	tube_type	tube_weight_empty	tube_weight_full	stool_weight_mg	cfu_g_stool	cfu_incubation_time	dna_conc_ng_ul	dna_conc_ng_ul
P4C3T2	s20	stool CFU		24 h	cage4	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s21	stool DNA		24 h	cage5	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s22	stool CFU		24 h	cage5	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s23	stool DNA		24 h	cage6	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s24	stool CFU		24 h	cage6	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s25	SI DNA		24 h	cage1	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s26	SI CFU		24 h	cage1	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s27	SI DNA		24 h	cage2	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s28	SI CFU		24 h	cage2	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s29	SI DNA		24 h	cage3	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s30	SI CFU		24 h	cage3	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s31	SI DNA		24 h	cage4	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s32	SI CFU		24 h	cage4	germ_free	None	mA	female	10^6	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s33	SI DNA		24 h	cage5	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s34	SI CFU		24 h	cage5	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s35	SI DNA		24 h	cage6	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s36	SI CFU		24 h	cage6	germ_free	None	mA	female	10^4	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s37	Cecum DNA		24 h	cage1	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
P4C3T2	s38	Cecum CFU		24 h	cage1	germ_free	None	mA	female	10^8	ST1a|ST2d	E. coli|E.coli	2ml_screwcap							
