Sample,Group,Order,BioSample
s27_stool.DNA,1,1,P4C1T8-cage1
s28_stool.DNA,1,5,P4C1T8-cage1
s37_stool.DNA,1,2,P4C1T8-cage1
s38_stool.DNA,1,6,P4C1T8-cage1
s47_stool.DNA,1,3,P4C1T8-cage1
s48_stool.DNA,1,7,P4C1T8-cage1
s57_stool.DNA,1,4,P4C1T8-cage1
s58_stool.DNA,1,8,P4C1T8-cage1
NTC_H3_NTC,1,9,P4C1T8-cage1
WATER_B3_WATER,1,10,P4C1T8-cage1
